content,sentiment
"iklanya terlalu banyak, saran untuk iklan nya di kurangi jadi 2-3 saja, saat saya sedang mendengarkan musik seringkali ada iklan terus menerus",1
bagus mantap kurangi iklannya,1
"apk kikirr, iklan bejibun",0
👍👍👍,1
Aplikasi nya bagus 👍,1
saya kasih bintang 5 walau saya download :),1
Aplikasi Nya Error Atau Gimana Sih Kok Gua Pertama Buka masih Bisa tapi kok Gua Mati In layar HP gua Pas Gua Buka Aplikasi Nya Balik kok Gak BISA gua keluar kembali keluar kembali tetap gak bisa Perbaiki Lagi Dong🙏🙏,1
"spotify sangat menenangkan dan mengasik kan , jika di keadaan apapun",1
keren,1
gak bisa di akses,0
aplikasi nyaaa bagus banget,1
terlalu banyak iklan,0
lagu nya enak bgt,1
banyak kali iklan masa setiap selesai lagu muncul iklan Mulu mana 4 lapis apk kikir GK kek dlu,0
jelek,0
seru,1
mantap. simple. jozz,1
"menurutku sebagai orang yang suka bikin playlist yang sesuai dengan mood sendiri, mungkin bisa tambahin fitur pilih lebih dari satu, biar enak bikin playlist",1
"bagus bisa cari lagu yg aku suka tapi kalau gak ada paketan pasti gak bisa dengerin lagu, tapi bagus aku suka. tapi tolong hilangin iklannya dong aku tergangggu sama iklannya, satu lagi, tolong lagunya diurutin dari atas gitu,bukan acak 😅.maaf ya kalau kurang berkenan 🙏🙏🙏",1
"apk bagus dan lengkap tapi tolong ditingkatkan lagi untuk hp kentang biar bisa dengerin musik juga, fitur jg lengkap minus ngelag dan iklan kikirnya itu loh😹😹😹",1
enak,1
mantap,1
baguss apk nya,1
"min kok sekarang iklannya makin banyak ya baru dua lagu ada lagi iklannya,yg tadinya masih suka make Spotify jadi bikin orang"" beralih ke apk musik lain",0
bagus,1
"aplikasi banyak iklan asu mau orang premium yaaa mimpi, masih banyak aplikasi seperti ini di play store.",0
"inii kenapaa yaa aku harus copot pasang apk nyaa padahal udah pake dari lama bahkan pas ganti hp juga masih pake Spotify. Tapi udah 3 hari iniii Spotify aku gamau kebuka, udah ditungguin berjam-jam loadingnya cuma layar hitam aja kenapa ya? Benerin pliss🥲🥲",1
bagus ji,1
lagu nya enak banget,1
lagu sgt merdu saya suka aku suka spotify,1
pasang lagu di spotify saat main game perfoma saya meningkat,1
cool but iklan nya tolong sampe 6 jink laper bgt,1
bagus aja,1
"tolong inj gimana saya beli paket premium promo 3 bulan itu, baru saya pakai sekitar seminggu tapi paket nya sudah hilang, saya punya bukti pembayaran nya, tolong ditanggapi",0
𝙗𝙖𝙜𝙪𝙨 𝙗𝙖𝙣𝙜𝙚𝙩 𝙗𝙖𝙣𝙮𝙖𝙠 𝙡𝙖𝙜𝙪 𝙮𝙖𝙣𝙜 𝙖𝙠𝙪 𝙨𝙪𝙠𝙖,1
Mantap,1
sangat luar biasa,1
iklannya bisa 1 aja gakk,1
sangat berguna,1
Mantap 💕,1
suka bnget kalo buat nenangin diri,1
suka banget sama sportify setiap hari dengerin lagu nya Billie Eilis dan Justin Bieber anjayy,1
👎👎👎,0
kikir,0
bagus dan juga keran,1
karna lebih mudah mencari lagu dengan melulis liriknya,1
sangat bagus di dengar dan cocok untuk jadi kehiburan keluarga,1
suka banget tapi sekarang iklan nya banyak banget kadang 4/5,1
itubikinlagukesukaku akuseru,1
sampah,0
sangat bagus,1
ok lah tapi malesnya kalo iklan Lo 👉😭👈,1
bagusss bgt suka banget sama aplikasi ini,1
baguslah pokonyaa lopyu,1
"Aplikasi eror. Indikator lagu berjalan dan durasi terus berputar, tetapi sama sekali tidak ada suara yang keluar. Sudah coba besarkan volume tetap senyap. Mohon segera diperbaiki bug ini.",0
bagus buat dengar lagu,1
Bagus tapi tolong Adain lirik buat lagu luar negeri plisss🙏,1
apk kikir 😔😔,0
makin terdepaan,1
pelit bet ini aplikasi apa apa harus premium udah iklan 4 biji nyalain 2 musik iklan lagi gabisa milih lagu harus premium pelit super super pelit,0
sangatt baguss!!!,1
"apk maruk dikit dikit iklan dikit dikit premium, harga ga ngotak, iklan ada 5 lagu sama iklan panjang iklannya konyol",0
enak keun,1
baguss keren 🔥,1
keren,1
good,1
👍👍,1
mantap,1
banyak iklan jmbt,0
banyak lagu yang bagus dan asik,1
"bagus sebenernya,kalo buka apk ini bisa sambil buka apk lain tp sayangnya cuma satu sekarang banyak lagu yg berbayar",1
"mantap setiap saya olahraga di temani Spotify jadi tidak bosan,👍🏻",1
good,1
Menyenangkan! tapi walaupun begitu tolong kurangi iklannya,1
apk ini bagus coi cepat kalian dolnoat kalau kalian gak dolnoat kalian akan nyesal,1
amazing,1
sangat bagus,1
TERIMA KASIH TELAH MENDAMPINGI DIRIKU MELAWAN DINGINNYA MALAM DAN BERATNYA RINDU . SEKALI LAGI AKU RINDU,1
"suka banget ama aplikasinya, ngapa²in bisa didengar🤩",1
"mls bgt jir, masa baru nyetel 1 lagu abis itu muncul 4 iklan 30 detik semua lagi. selalu aja gitu, muak, spotify kikir gila.",0
dari tadi gw mau buka spotify tapi gak bisa bisa anj,1
hiburan yg bagus,1
bagus,1
lagi nya enak enak,1
kebanyakan iklan gaberbobot,0
bisa dengar lagu lagu,1
lagunya berenti sendiri melulu kenapa ya?,1
"buset mentang² ga premium iklannya ada 5 , hadeh kebelet haji",0
playlist ku hilang semua,0
iklan lu noh mpruy bgtt,0
bagus saya kasih bintang 5,1
makin ke sini makin kikir iklan makin bnyak apa apa jadi harus premium.. kocak,0
aplikasi tytyd iklannya banyak kali lah,1
"iklan nya makin parah, bisa bisa nya iklan 4",0
"sebagai anak musik saya sangat senang mendengarkan musik dati Spotify.Untuk mengulik, bernyanyi, mendengarkan lagu sangat terbantu",1
lagu 20% iklan 80%,0
aku sangat suka tapi aku tidak suka karena banyak iklan nya,1
"kok ada aplikasi se kikir dan sepelit ini apa"" harus prem semua? 🫢👎",0
Spotify ini berguna bangt sihh soal ny bisa dengerin lagu sambil ngelakuin aktivitas apapun dan itu bikin jdi asik,1
sangat seru dan asik,1
"banyak iklan ketimbang lagu nya , lagu durasi suprit iklan banyak premium bayar mahal hadeh",0
"nggak gituu, plis lah skip lagu sekarang dibatasi trus milih lagu dibatasi plis min kurang'in kikirnya kalo iklan aku masih bisa toleran min, kadang sampe 5 juga kubiarin tapi kali ini yang skip lagu dibatasi 6 kali sama skip juga dibatasi aku agak ga terima minn",0
makin banyak iklan dan makin dibatasi muter lagu padahal udh nonton iklannya. kaum gratisan juga mau nikmati musik tp dr pihak spotifynya ngebet biar pada beli premium,0
"ENAK Y ENK ANJR, TP SERING GBS D BUKAAAAAAA. knp..",1
aplikasinya udah bagus cuman sering ada iklan jadi kegangu pas dengerin musik,1
👍🏻🤟🏻🤟🏻👍🏻,1
"Login aplikasi terlalu ribet. Saya ingin login pakai nomor HP, bukan email terus. Saat reset kata sandi juga sering dibuka ke browser lalu kembali lagi ke aplikasi, jadi membingungkan. Proses login dan ganti sandi terlalu lama serta terlalu banyak verifikasi. Tolong buat lebih simpel seperti aplikasi profesional lain, sekali tekan login langsung masuk. Selain itu, iklan di aplikasi terlalu banyak dan sangat mengganggu saat mendengarkan lagu.",0
"makin lama makin kikir njir, iklan dh empat, satu lagu empat iklan, jatohny dengerin iklan bukan lgu",1
"bes banyak iklan, tolong kurangin je iklannya yak",1
sangat membantu saya untuk tidur,1
terlalu sering iklan,1
the best song you need,1
spotify ini bagus banget saya sekali mendengar musik dan lagu kalo kalian gak percaya coba download sopitify nih sangat bagus sekali,1
"intinya bgt bgetttt cinta dehh lupp banyakkk""",1
aplikasi yang sudah banyak iklannya. musti berbayar atau langganan untuk bisa menikmati aplikasi ini sepenuhnya.,1
👍👍🙏,1
Spotify nya bagus dan sangat membantu saat lagi kesepian dalam hidup yang kesendirian 🥹🥹🥹🥹🥹,1
aplikasinya bagus .banyak lagu kesukaan saya makasih ya udh nyiapin aplikasi ini saya sangat terhibur saya akan beri aplikasi ini bintang lima5,1
bagus bngt🫰🏻🫰🏻🫰🏻🫰🏻🫰🏻🫰🏻😚😚😚🍓🩷🍓 aku suka lagi idgitafnyaaa😭😭😭😭🫰🏻😚🩷🍓,1
mantap,1
sangat bagus,1
banyak iklannya,0
aplikasi ini sangat baik,1
Bagus lagunya,1
menarik+seru dan menyenangkan tapi ada iklan nya,1
kikir tiada tara,0
"SANGAT BISA MENGEKSPRESIKAN DIRI... MENYALURKAN HOBI SETIAP HARIIII, BISA BIKIN PLAYLIST BANYAKKK, DAN JUGA SANGAT FLEKSIBEL BISA DI DENGAR DI MANA AJAAA, AKU DENGERIN 24/7 GILAAA... SEMOGA ADA PENINGKATAN TERUS DAN SELALU ADA EVENT GITU AKU SUKAAA...",1
kebanyakan iklannnn,1
sekarang apa apa pake premium kwka,0
bagus banget,1
bagus sih tapi iklan nya itu loh bikin GK fokus,1
bagus dari joox,1
"WHAT' AN JIRR,MAU PLAY LAGU TPI GABISA CUMA KE PLAY BEBERAPA BAGIAN,BUKA PLAYLIST ISINYA CUMA TULISAN,ini di hp gua doang apa gimana spotify pls jawab",0
sangat,1
bikin tambah semangat main epep🤪,1
"iklanny ganggu bet jir w tau lu jual premium tapi ga setiap 1-2 lagu juga anjir mana iklanya 1 menit nah bruh,iklan indony juga kebanyakan gragas jir,mood aing disappear seketika meh",0
bagus dan seru tapi ada iklannya,1
"tolong ya min gua lagi dengerin lagu sambil main c.ai sama ngerjain tugas jadi harus bolak balik ke ni apk karna gua udah setel mau ny lagu itu malh ke ganti sendiri, keburu badmood gua bbi, tolong di perbaiki lgi 🙏🏻ini juga apk kalo lgi dengerin lagu lagu ny suka mati sendiri cpk bolak-balik k apk ny",0
minimal jadi aplikasi gartis saat oofline dan onilne susah jadi nya saat internet mati dan membuang kouta banyak,0
"overall bagus, tapi iklannya ngeselin baru 1 lagu durasi 3 menit aja kadang udah iklan lagi ""hai aku Rudi/Aldi? parolian "" kita ga saling kenal jdi ga usah sok akrab",0
lumayan hahha,1
kebanyakan iklan,0
suka bagett aplikasi nyaa❤️,1
tolong donk iklannya biasanya cuma 1 skrg jadi 4 bikin malas dengar lagu,0
sering bgt dengerin lagu dari spotify ya gk terlalu sering sih tapi aku masih sukaaa bgt .aku dengerin karna aku pecinta musik dan nyanyi makan nya aku kasih bintang lima!! ya ?👉👈,1
semuah lagu sangat enak dan bagus,1
seruu,1
"Napa jadi sering ngebug dah,pas masuk ke apk nya cuma stuck di warna item doang tapi masih ada bar nya benerin dong developer",1
"mantap,gak pernah bosen dengerin musik lewat Spotify 🫶🏻 tolong bgt iklan nya kurangin dikit,buat kita yg kaum tidak pakai Spotify premium hehe:)",1
wow bagus,1
BOIKOT SPOTIFY!!!!🔥🔥🔥,0
suka banget sama SPOTIFY bisa mendengarkan lagu yg kita mau cocok nih buat yang lagi galau..,1
bagus,1
"jujur suka banget pas dengerin lagu sambil main game,gambar,bersih bersih kamar,cuci piring,tapi kadang banyak iklan jadi GK nyaman dengerin lagu tapi Spotify tetap no satu",1
"secara overall si oke ada lagu yang saya ga temuin di youtube,tapi di spotify ada,cmn yg sedikit ga masuk akal itu jumlah iklannya,saya paham anda ingin semua pengguna anda menggunakan akun premium dan berlangganan makanya anda sengaja menyelipkan jumlah iklan yang ckup banyak agar pengguna risih dan berlangganan agar pendapatan anda akan meningkat ,namun jika habis 5-6 lagu trus ada iklan kek 1-4 itu masi masuk akal,kadang itu loh baru juga 1-3 lagu uda kena spam iklan like bawadewak bro",0
"1 lagu, iklan nya 10",0
musiknya bagus,1
LUCUUU,1
"kikir, satu lagu masa empat iklan",0
sportify awesome...no one else.,1
sakit tau GK???,1
bagus bngt,1
"makin lama makin kikir nih aplikasi,",0
baguss,1
kbnykn iklan,0
TERLALU BERLEBIHAN MEMBERI IKLAN!,0
good,1
kalau buat buka profil penyanyi gabisa,0
bagus pula cik 😹👍,1
enak kalau mau nyalain musik,1
suka banget sama spotify buat dengerin hindia sama feast,1
saya sangat suka,1
bagus,1
keren,1
koq malah gak bisa di buka setelah di update.........??????,1
Good dan baguuuuuuuus,1
"poko nya mantap ""l👍👍",1
kenapa spotify akhir² ini sering bermasalah? playlist spotify sya tiba² hilang semua & ketika lagu yg prnh sya simpan d spotify (playlisy) akan di putar itu tdk dpt di lakukan. knp sprti ini? tolong perbaikanya...,1
Dapat notif berlangganan premium 3 bulan 29.900 pas udah beli ternyata hanya 2 bulan ....nipu aja nih,0
"bugnya dah di benerin, kudu di silent treatment dulu baru bisa balik lagi",1
aneh,1
bagus banget semua lagu ada disini,1
"suka banget apalagi gratis gk harus bayar, bisa juga buat main game trus juga banyak lagunya pokoknya bagus banget hehe",1
banyak sekali lagu nya,1
y Spotify enak Tapi katanya gak iklan waktu pertama download malah ada iklan y Spotify bagus lagu nya lengkap.,1
cukup lengkap musik nya.,1
bagus,1
musik yang asik,1
enak sekali,1
"kebanyakan iklan, bahkan iklan durasi nya smpai 3menit, lagi enk"" nya dnger lagu tb"" ad iklan dan itu membuat saya terasa terganggu",0
ini aplikasi sangat amat baguss lohh kalian harus cobain!!!,1
jangan di download karna sudah dukung isriwil,0
"gila iklannya, habis 2 lagu langsung kena iklan 4 biji",0
Spotify cocok banget untuk dengerin lagu,1
spotify ful iklan,1
💯,1
bagus buat dengerin lagu,1
👍,1
Pov : You are here again,1
Bagus banget,1
"ganti aplikasi aja geng,makin kesini makin kek bujang.1 lagu 10 iklan apa gak pepek.👊",0
"Baru dengerin sebentar harus langganan premium, mana ngga bisa pilih lagu dan banyak iklannya",0
Hai spotify premium aku barusan ngasih bunyi lagu akun aku 2 bisa tanpa nyala HP,1
ʀᴀsʏᴀ,1
musik musik nya enk di dngr,1
setiap saya bermain game dan membunyikan music di Spotify itu selalu mati sendiri mohon perbaiki lgi karena suka mati sendiri,0
"kebanyakan iklan, setiap lagu ad nyempil iklan 2-4 iklan",0
bagus banget ini mah,1
"ga bisa di masukin, NGELAG pkoknya jlek",0
bagus,1
"memverifikasi Premium Student sangat sulit, saya sangat kecewa dengan pihak terkait dalam memverifikasi!!!",0
bagusss,1
"oke, tp iklannya lama bener",1
"habis iklan 3 , 90 detik.. mau ganti lagu krn saran lagu ga suka.. iklan lagi 2,60 detik... algoritma iklan lu busuk kali ah..mana iklan video lagi... buang-buang kuota.. 👎",0
"jingg, kesel bgt. sekarang banyak kikirnya apa apa harus bayar mau nyetel lagu aja disuruh beli spotify premium. iklan nya aja banyak banget bisa sampe 2 lagu 5 iklan.",0
bagus,1
suka dengger lagu,1
buat ngerjain tugas sambil dengerin lagu yang enak enak,1
Thiss pig droppings application is useless,0
saya ingin peremium,1
bagus banget,1
spotify musiknya enak di dengar saat lagi santai dan sibuk dengan pekerjaan rumah,1
lagu¹ menenang kan hati ku,1
1 kata keren,1
suka aja,1
sangat puas,1
"mendengarkan music dengan suara dan kualitas yg sangat bagus... menemani dalam keadaan apapun... thanks sudah menjadi bagian dari perjalanan hidup sy, menemani dan telah memberikan kebahagiaan...",1
au bang Keyan Silalahi!) 90,1
bagus banyak lagu yang enak,1
KASIH UPDATE BARU KALAU BISA KURANGI IKLAN JANGAN BANYAK KALI SAMPAI 2 IKLAN TERUS ADA MODE Untuk SKIP IKLAN DAN MODE MATIKAN DATA JADI ENAK DENGAR LAGU NYA,1
I love it🌹💜,1
"ini Spotify ku kenapa yaa, kok Gonta ganti lagu sendiri, terus kenapa lagu yang disukai hilang semua????",1
ok,1
bagus best,1
mantap banget,1
iklan nya gila bisa sampe 5 iklan amit amit,0
"sekarang saya pindah ke joytify di spotify udah nggak bebas kaya dulu ,lagu-lagu pilihan sendiri pemutarannya sudah di batasi cuma bisa sampai 4 lagu aja,lebih dari itu harus upgrade ke premium dan berbayar..prettt lah",0
Bintang bicara,1
lagu nya ada semua bagus bagus,1
Sangat bagus dalam mendengarkan musik,1
mntap apk nya ktua,1
sangat bagus,1
ini sih aplikasi lagu yg paling bagus menurut aku,1
Aplikasi Spotify sangat bagus untuk memutar laguuu👍👍,1
terimakasih sudah menemani jam2 sibuk.ku yaa. sukses terus .. thx again to you.,1
mungkin bisa kali ya yg sering dengar lagu itu itu aja gak pake ikhlan menurut Lo v pake kuota kada kan (bonus kuota aj knpa ),1
jujur aplikasinya bagus banget ih bisa dengerin lagu yang lama kaya jadul sampai masa kini,1
kelaz king,1
ribed,0
masih the best choice buat stay in tune,1
apk Maruk,0
terbaik,1
aplikasi bagus,1
Kok sekarang lirik ga ada terus yah perbaiki dongg secepatnya,1
"JANGAN DOWNLOAD APLIKASI SUPER KIKIR INI,GW UDAH MUAK BANGET,MILIH LAGU BEBAS JADI HARUS PREMIUM,PAS 1 LAGU DI PUTAR..SETELAH NYA MUNCUL 4 IKLAN DENGAN DURASI LAMA,JADI !!! ,DARIPADA YANG PUNYA APLIKASI MAKIN KAYA,GW MEMILIH UNTUK BERHENTI MENGGUNAKAN SPOTIFY !!! ,UNINSTALL SAJA BAGI KALIAN YANG MEMBACA KOMEN SAYA DAN SAMA SAMA SUDAH KESAL DENGAN APK INI,GAK SEMUA ORANG TUH MAMPU BAYAR WALAU KEBILANG CUMAN 32 RIBU KEK,87 RIBU KEK,MENDING SETEL LAGU DI YT 1 VIDIO 20 LAGU DAN IKLAN DIKIT",0
bestt doooooo,1
"bisa stop rekomendasiin buat premium ga, gua ga bodoh, kalau gua mau premium gua bisa beli anj. jadi stop rekomendasiin premium ke gua",0
"Tolong untuk pengguna non premium dikurangi iklan nya, karena iklan nya sering dan panjang2",1
semakin buruk sering loading lama. bayarpun nggak jamin bikin penggunaannya lancar.,0
asik.,1
"aplikasi kikir jir iklan sampe 4, dengerin musik aj bayar smpe berpuluh' ribu najis kikir bgtt. minimal belasan rb masih oke",0
ok,1
Mantapp wareg minus nya kasih dong aku nya premium,1
"spotify sialan, bener² baru muter 1 lagu langsung iklan 5 kali, inimah dengerin iklan doang knyol, ""makanya prem"" taik, udh bertahun² gua make ni apk dan gua cuma pernah prem sekali karna ga se waw itu, nyesel parah gua beli prem. Sekarang mah banyak apk yg lebih bagus, sabar² aja sama ni apk mah",1
keren,1
"aku suka aplikasi nya, karena Spotify teman tidurku",1
"aplikasi nya sangat bagus tapi saat sedang enk denger musik tiba tiba logout dan ga bisa masuk lagi padahal udah premium tapi ttp aja kyk gitu dan pas di login in lagi muncul kata"" ADA YANG SALAH ituu kenapaa yaa",0
bagus,1
"Spotify, if you see my message now, please don't change the disco lamp logo, it suits with your music app. Also, we need a glitter as a symbol of music and I love to see you all trying something new with retro style. Hope y'all keep trying something unique and ignoring some hatred feedback to be better and unique. Sincerely, The User",1
seruu banget tapi banyak yang gak ada dan banyak iklan 😰,1
"baikk,tapii tolong tnpaa paket doung mau dengrin di jllan,maklum anak wipii, banyaa iklaann",1
cocok untuk santai,1
apk kikir.... iklannnnn semuaaa,0
mampus turun mangka nya jangan bayar,0
sᴇʀᴜᴜᴜᴜᴜ,1
"ga banget, makin lama makin banyak iklan, iklan panjang banyak.",0
Buatlah Lebih Banyak Fitur Yang lebih Menarik!,1
tolong bgt ini knp sering lagu tuh gabisa diputar!,0
aku suka banget sama lagunya,1
gak ada gratis buat pengguna baru,0
lagu ya bisa pilih kan semau kita hebat 😊,1
"bagus banget kalau lagi main game dan GK bikin stres di pikiran,pokok nya bagus banget dan sempurna aku reting 10/10 makasih udh bikin aplikasi ini",1
iklannya ada 4 jir,1
walah playlist Al Qur'an ku malah ilang wok balik woy,0
bisa dengerin lagu mantap bet pokok nya,1
"sukaa bgt sama aplikasi ini, bisaa dengerin lagu banyaak, pokonya aplikasi nya baguus",1
terlalu banyak iklan,0
diupdate mlah bikin hp blank,0
"iklan nya tambah banyaaaaaaaaaaaaak dan sering juga muncul nya,setiap abis 1 lagu langsung iklan,masa harus logout dan login terus supaya ga denger iklan yang banyak¿!!",0
ya lumayan sih,1
bagus cuma iklanya agak banyak mungkin bisa dikurangi tapi jujur berguna,1
gitulah.,1
lumayan keren,1
"enak didengar,cuma sering banget iklan",1
"bagus banget klo pke premium, tpi biar gk beli premium juga bagus, tpi kebanyakan iklan, overall bgs👍🏼",1
Musiknya enak lagunya enk di dengar,1
"terlalu banyak iklan,bete",0
jujur wlpn apk ini udh di boikot gue ttp milih apk ini ya krna bagus aj gitu lengkap lagunya wlpn banyk iklan,1
aplikasi kikir,0
"dengar 1 lagu iklannya 4, rakus banget",0
"iklannya pls 2-3 aja cukup. kami pengguna gratisan muak denger iklan sampe 6 kali. ga bermksd menjelekkan, tpi jgn maruk dong",1
kebanyakan iklan tolol,0
bagus,1
tibang milih lagu doang ampe kudu premium mala iklan ny kg ngotak sampe 4 kli iya tau klo ga pengen iklan harus premium tpi masa iya milih lagu doang kdu premium ett,0
aplikasi ini bagus sekali saya menyukai nya lagu nya enak,1
"halo spotify, ini apk musik favorit bangett, tapi entah ponselku yg bermasalah atau apa, tapi ini bikin aku gak nyaman.. soalnya pas stel lagu ini yg play lagu lain, misalnya.. stel lagu the visitor tapi who knows yg play, kenapa yaa",1
ribet,0
tolong tambakan lagu BSK garet full lirik 🙏,1
sangat bagus saat mendergar musilk,1
baguss,1
"kebanyakan iklan, masa sampai 12 iklan",1
seru,1
"dengerin 1 lagu iklannya 3 sendiri, masing masing 30 detik lebih. gila emg, jelek",0
jadi banyak bug co,0
"saat saya menekan lagu, lagunya tidak berputar dan butuh waktu lama. dan saat lagu sudah berputar suara musiknya malah sering berhenti atau terputus putus. saya memutarnya di laptop",1
2 lagu 3 iklan 😇🙏🏻 Lain kali yg baik dikit lah kalo ngasih iklan,0
"APLIKASI KIKIRRR!!!, masa harus bayar premium kalo MW ganti musik????????",0
terimakasih sudah menyediakan tempat untuk mendengarkan lagu yang bagus dan keren kata Ilham,1
bagus,1
the application is very helpful to restore lost mood,1
bagusan banget enak lagi lagunya tapi kurangnya iklannya,1
sangat memuaskan,1
good,1
"jelek, makin hari iklan makin banyak, makin gak ngotak iklannya, stres ni apk",0
keren sekarang iklannya 5 lapis👏,0
keren,1
ga jelas lagu yang di sukai malah ilang semua,0
"iklan 3 kali gak bisa diskip, mau milih musik ada limitnya",0
"aplikasi ny keren bgt! enak buat ngerjain tugas, makan, sama sambil cht temen. walaupun ad iklan, iklan ny juga enak🥰 semangat yg bikin aplikasi ini!! ✨",1
bagus Suaranya,1
"lama2 makin sampah ini aplikasi musik. udah platform paling gede sedunia, iklan rangkap 4. sekarang gabisa play lagu dari favorit dan dari search. goodbye unistall",0
"jujur akhir2 ini ngebug trus, ke skip trus lagunya, ga skali dua kali tpi sampe 15 kali dan seterusnya, dibenerin nya ya cuma bisa dengan cara di uninstall trus di donlod lagi🫩",0
aku bisa tenang dan nyaman,1
ini bagus bisa di denger saat kita main atau sedang berkerja,1
mantapppppp,1
ok banget pokoknya,1
"saya suka sekali lagu yang ada di spotify, terimakasih spotify",1
awesome,1
sangat lemot,0
"jelek, iklan banyak padahal cuma mainin 1 lagu, lagu yang diputar ga sesuai playlist mending download lagu di yt lewat web terpercaya trus didengar lewat aplikasi musik bawaan, gratis lagi",1
ini banyak banget lagunya aku suka🥰,1
jadi susah banget dah sekarang. pake premium bae,0
aku suka banget tapi aku gk premium tapi gk papa lah tetep enak denger musik ya 😘,1
"kenapa di perangkat hp saya selalu ad peringatan ""aplikasi ini telah berhenti"" tolong diperbaiki dong min.saya tidak bisa login Spotify dari kemarin",0
wajib premium,0
"OMGG AK SUKA BANGET SAMA APLIKASI INI, suka deh tiap hari nonton iklan bejibun daripada lagunyaaa, dan juga kita dipilihin lagunya sama spotify nya langsung. Gabisa milih!!! enak bangett, kalian mau nonton iklan bejibun sama apk pelit? pake ini aja",0
"keren banget, sama seru lagu nya",1
iklan nya banyak anjeng,1
seruu,1
warth iy,1
"masuk nya lama bngt awal download, padahal sinyal bagus",1
aku bisa dengerin semua lagu baru!! aku sangat senang!! terimakasih spotify 🫶,1
semoga iklan nya sedikit,1
coba tambahkan fitur penggabungan lagu min,1
kenapa setelah diupdate lagunya mati sendiri ya kak..,1
sangat menyentuh hati,1
kenapa pas klik full lirik nggak muncul ya?,0
asik,1
👍👍👍👍👍,1
bintang 5,1
sangat lengkap lagu dan Brazil ada sou fava ada sangat baguss,1
"Spotify adalah aplikasi terbaik untuk mendengarkan iklan. Sedang asyik mendengarkan 3-4 iklan, Tiba-tiba muncul 1 lagu. Tolong hapus lagu-lagunya, ganti dengan full iklan saja.",0
amazing,1
"tolong dong, lagu lagunya ga semua nya ada liriknya, please lah buat siapa pun yg up lagu di Spotify diwajibkan mencantumkan liriknya",1
tidak nge lag dan enak untuk mendengarkan musik yang saya sukai dengan suara yang jernih. cuman menurut saya tolong kurangin iklan nya supaya saat mendengarkan musik tidak terganggu oleh iklan.,1
bagus bet dah pokoknya,1
"Aplikasi agak mengecewakan belakangan ini. Tiap mau cast lagu ke Google Nest Mini selalu gagal dan perangkat tidak terdeteksi, padahal Wi-Fi rumah sama dan koneksinya lancar. Masalah ini baru muncul akhir-akhir ini. Tolong pihak developer segera perbaiki bug casting ini, sangat mengganggu kenyamanan mendengarkan musik",0
bagus,1
bagus banget tapi kurang GK punyaa duit buat beli Spotify premium,1
baguss,1
agak maksa bet ya beli premium,0
"ok banget,rekomended",1
"rekom,,bnget pokok nyaa",1
suka bnyak lagu kesukaan!!!,1
banyak iklan,0
"memberi kesukacitaan dalam mendengarkan lagu-lagu rohani, JBU.",1
bagus sekali dan banyak musik yang aku sukai,1
iklan mulu,0
mantap,1
sangatttt bagusssss,1
sangat baik,1
sya suka pake aplikasi Spotify lagu nya bgus bgus dan tidak pake bayar love you Spotify.,1
baru kaliini saya stle spotify keren,1
baguss,1
"iklannya banyak banget sialan, maruk bgt😭",0
enak si lagunya cuman ga seru klo lgi iklan,1
bagusss banget,1
bagus,1
sangat membantu dalam segala suasana dalam kegiatan,1
lagu lagunya baguss,1
tolong dong bikin paket premium sebulannya 10rb. kalo bisa setahun 60rb 😅,1
"dari dulu pake Spotify bagus bagus aja tapi akhir akhir ini bikin emosi, suka tiba tiba mati sendiri padahal jaringan bagus kuota juga ada. Tolong diperbaiki",0
"spotify tolong banget nih yaa jangan kebelet naik haji pliss iklan nya banyak bgt anjirrr. setiap satu lagu udah selesai langsung ada iklan mana banyak banget lagi. terus pas mau masuk lm bgt, lebih lm dari genshin anjir😭",0
banyak lagu,1
sangat memuaskan tetapi kurang i iklan,1
spotify is the best music player..,1
apa lah udh bener sandi nya malah di bilang salah apa aplikasi ini ga guna👎ga guna,0
baguus banget,1
The best application for listening to songs,1
"Spotify ini wajib banget buat pecinta musik. Lagu lengkap, tampilannya enak dilihat, dan rekomendasinya pas terus. 5/5 🎧",1
mantap,1
hama titid banyak iklan suka ngelag' emang cocok B1 gini,0
si paling premium,0
bagus banget,1
good,1
keren sangat membantu,1
terlalu spam promosi upgrade premium. setiap iklan isinya ajakan spotify premium dan selalu muncul pop up,0
bagus,1
"my fav guweh, my mine,",1
karna saya suka ini tapi hp saya jadi patah patah,1
lagu lagu nya banyak yang ku mau,1
bagus aplikasi nya cocok buat banyak kalangan,1
"kikir,apa apa harus premium",0
"gue kasih satu dulu . kalau misalnya spotify Luh udah bener, baru gue kasih bintang bagus . setiap gue buka spotify, layar nya tiba tiba item . dan gue harus install ulang lagi sampe bisa masuk ke spotify nya",0
nice,1
aplikasi ini sangat membantu jika bosen,1
"1 video seratus iklan, sebel",1
bgus.,1
Iklannya bnyak bngt gila ..memaksakan kita membeli premium parahh ni aplikasi !!!!,0
"terlalu banyak iklannya, ga ngotak",0
mantap,1
All Song My FAVOURITE.,1
"Tolong tambahkan lirik lagu dengan Romaji dong, biar kalau denger lagu jepang tuh bisa tau pelafalan nya lewat alfabet, please!",1
"kebanyakan iklan,mana durasinya lama bet lagi",0
mantap,1
sangat puas,1
Mantap,1
good,1
bagus bngt lagunya ad semua,1
aku suka banget jir bagus banget 💯❤,1
